action,y_true,y_pred,gender,loss,total_cost,confidence
AI,0,1,0,1.0,1.0,0.8860389710965644
AI,1,1,0,0.0,0.0,0.8863747038422387
AI,1,1,1,0.0,0.0,0.8253302108347705
AI,1,1,1,0.0,0.0,0.9060396782688972
AI,0,0,1,0.0,0.0,0.9779531137544799
HUMAN,0,0,0,0.0,0.8,0.6101071325950773
HUMAN,1,0,0,1.0,1.8,0.6659357256674461
AI,1,1,1,0.0,0.0,0.8749206313022526
AI,1,1,0,0.0,0.0,0.8755724648189706
AI,0,0,0,0.0,0.0,0.9769697314915667
AI,1,1,1,0.0,0.0,0.8050637018409409
HUMAN,0,0,0,0.0,0.8,0.7672015395212376
AI,1,1,0,0.0,0.0,0.9334853242384842
AI,1,1,1,0.0,0.0,0.878273589174376
AI,1,1,0,0.0,0.0,0.8743177878143058
AI,1,1,1,0.0,0.0,0.9021495154656135
AI,1,1,1,0.0,0.0,0.899012949945794
HUMAN,0,0,0,0.0,0.8,0.5976384263756962
HUMAN,0,0,0,0.0,0.8,0.5975424355556265
AI,1,1,0,0.0,0.0,0.8228185493218663
AI,1,1,1,0.0,0.0,0.8277567056365035
AI,0,0,0,0.0,0.0,0.9735052142761758
AI,0,0,1,0.0,0.0,0.9872719675865895
AI,1,1,1,0.0,0.0,0.9447366196870821
AI,1,1,0,0.0,0.0,0.9036881294117401
AI,1,1,1,0.0,0.0,0.8758572370145487
AI,1,1,0,0.0,0.0,0.8259780774666512
AI,0,0,1,0.0,0.0,0.9900297475452184
HUMAN,1,1,1,0.0,0.8,0.6435015819281629
AI,1,1,0,0.0,0.0,0.9090073665086684
AI,0,0,0,0.0,0.0,0.9727962985438227
HUMAN,1,0,1,1.0,1.8,0.6017628440897298
AI,0,1,1,1.0,1.0,0.9083273068240615
HUMAN,0,0,1,0.0,0.8,0.7394256810615085
AI,1,1,0,0.0,0.0,0.8695423592634622
AI,1,1,1,0.0,0.0,0.8184089007144211
AI,1,1,0,0.0,0.0,0.8243901579046096
AI,1,1,0,0.0,0.0,0.8851374370048732
HUMAN,0,0,1,0.0,0.8,0.5038341420721382
AI,1,1,0,0.0,0.0,0.8843914373500853
AI,1,1,0,0.0,0.0,0.870716551568284
AI,1,1,1,0.0,0.0,0.9135850661176607
AI,0,0,0,0.0,0.0,0.9896247316428511
AI,1,1,1,0.0,0.0,0.875672512352461
AI,0,0,0,0.0,0.0,0.9566709709866693
AI,1,1,1,0.0,0.0,0.906037505052581
AI,1,1,0,0.0,0.0,0.8886540876769514
HUMAN,1,1,1,0.0,0.8,0.7800978946825939
HUMAN,1,1,0,0.0,0.8,0.6246816680982917
AI,1,1,0,0.0,0.0,0.8544415180165366
AI,0,1,0,1.0,1.0,0.8947752257245443
AI,1,1,1,0.0,0.0,0.8061078605554485
AI,1,1,1,0.0,0.0,0.9046636311691593
AI,0,0,1,0.0,0.0,0.9723645257025602
AI,1,1,0,0.0,0.0,0.9110463208017568
HUMAN,1,1,1,0.0,0.8,0.6087059838469022
HUMAN,1,0,1,1.0,1.8,0.7753485033120978
AI,0,0,0,0.0,0.0,0.9782703834921761
AI,0,0,0,0.0,0.0,0.9889543397762794
AI,0,0,0,0.0,0.0,0.9785933393136828
AI,1,1,0,0.0,0.0,0.8766246921323935
AI,1,1,0,0.0,0.0,0.8811851571039577
AI,0,1,0,1.0,1.0,0.8852070445327176
AI,1,1,0,0.0,0.0,0.8994281482937152
AI,1,1,0,0.0,0.0,0.8603516881863408
AI,1,1,1,0.0,0.0,0.9079258160321574
