action,y_true,y_pred,gender,loss,total_cost,confidence,step,ai_penalty_gender0,ai_penalty_gender1
AI,1,1,1,0.0,0.0,0.8885245246721241,1,0.0,0.0
HUMAN,1,0,1,1.0,1.8,0.8989719303199187,2,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.9896206586758487,3,0.0,0.0
AI,1,1,1,0.0,0.0,0.8428955281633629,4,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.7815909827444875,5,0.0,0.0
AI,1,1,1,0.0,0.0,0.8380788026317824,6,0.0,0.0
AI,0,0,1,0.0,0.0,0.9759965941192522,7,0.0,0.0
AI,1,1,0,0.0,0.0,0.8964863367150567,8,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.8939967479585181,9,0.0,0.0
AI,0,0,0,0.0,0.0,0.9868460093754845,10,0.0,0.0
AI,1,1,0,0.0,0.0,0.7732748997572655,11,0.0,0.0
AI,0,1,0,1.0,1.0,0.8630312449506328,12,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.9072110613317281,13,0.0,0.0
AI,1,1,1,0.0,0.0,0.9069472790891833,14,0.0,0.0
AI,0,0,1,0.0,0.0,0.9707300882106545,15,0.0,0.0
AI,1,1,1,0.0,0.0,0.9050901146935614,16,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.8634028866864536,17,0.0,0.0
AI,0,1,1,1.0,1.0,0.7089675958197613,18,0.0,0.0
AI,1,1,1,0.0,0.0,0.9029679709779963,19,0.0,0.0
AI,1,1,0,0.0,0.0,0.8583696725799272,20,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.7089675958197613,21,0.0,0.0
AI,1,1,0,0.0,0.0,0.8602562757279795,22,0.0,0.0
AI,0,0,1,0.0,0.0,0.9809128660453186,23,0.0,0.0
DIAGNOSTIC,0,1,0,1.0,1.4,0.5331958926227486,24,0.0,0.0
AI,1,1,0,0.0,0.0,0.9186489532547633,25,0.0,0.0
AI,1,1,0,0.0,0.0,0.9447366196870821,26,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.9720744183736306,27,0.0,0.0
AI,1,1,0,0.0,0.0,0.8246211419880641,28,0.0,0.0
AI,1,1,1,0.0,0.0,0.5645160134726316,29,0.0,0.0
AI,1,1,0,0.0,0.0,0.9043578431570305,30,0.0,0.0
HUMAN,0,0,0,0.0,0.8,0.7844769181486164,31,0.0,0.0
AI,0,1,0,1.0,1.0,0.7844769181486164,32,0.0,0.0
AI,0,0,0,0.0,0.0,0.9758196953884347,33,0.0,0.0
AI,1,1,0,0.0,0.0,0.9074448330337248,34,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.8239970801755081,35,0.0,0.0
AI,1,1,0,0.0,0.0,0.9459655410910865,36,0.0,0.0
AI,1,1,0,0.0,0.0,0.8564908486542432,37,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.9151472920144231,38,0.0,0.0
AI,0,1,0,1.0,1.0,0.8197481754414261,39,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.8729092068042583,40,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.9942164578762299,41,0.0,0.0
AI,1,1,0,0.0,0.0,0.822115885658846,42,0.0,0.0
AI,1,1,1,0.0,0.0,0.6130684023905962,43,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.8739300951306003,44,0.0,0.0
